section,url,title,source,notes
home,/en-uk/home/index.html,Adan Corporate,search,
about-us,/en-uk/about-us/company-overview.html,Company Overview,search,"claims 19 countries / 3 continents / $1mn-$500mn deal value - UNVERIFIED"
about-us,/en-uk/about-us/global-locations.html,Global Locations,search,
about-us,/en-uk/about-us/contact-us.html,Contact Us,search,
about-us,/en-uk/about-us/team.html,Team,search,"title is the generic homepage title - not page-specific"
about-us,/en-uk/about-us/a-done-deal-adan-podcast-index.html,A Done Deal Podcast Index,search,
team,/en-uk/team/priya-shah.html,Priya Shah,search,
team,/en-uk/team/thomas-peutz.html,Thomas Peutz,search,"indexed on www. host - host split"
team,/en-uk/team/ajay-mavinkurve.html,Ajay Mavinkurve,search,
team,/en-uk/team/suresh-nambiar.html,Suresh Nambiar,search,
team,/en-uk/team/marco-salvini.html,Marco Salvini,search,
team,/en-uk/team/jean-bernard-tanqueray.html,Jean Bernard Tanqueray,search,
team,/en-uk/team/keshav-adya.html,Chennakeshav (Keshav) Adya,search,
team,/en-uk/team/suryadeep-nain.html,Suryadeep Nain,search,
corporate-finance,/en-uk/corporate-finance/index-corporate-finance.html,Index - Corporate Finance,search,
corporate-finance,/en-uk/corporate-finance/project-finance.html,Project Finance,search,"snippet identical to Business Strategy page - template boilerplate"
corporate-finance,/en-uk/corporate-finance/debt-financing.html,Debt Financing,search,
corporate-finance,/en-uk/corporate-finance/ipo.html,IPO,search,"snippet is about restructuring not IPO - wrong boilerplate"
corporate-finance,/en-uk/corporate-finance/working-capital-and-trade-finance.html,Working Capital and Trade Finance,search,
corporate-finance,/en-uk/corporate-finance/private-equity-venture-capital.html,Private Equity and Venture Capital,search,
corporate-finance,/en-uk/corporate-finance/distressed-asset-management.html,Distressed Asset Management,search,
corporate-finance,/en-uk/corporate-finance/renewable-energy-financing.html,Renewable Energy Financing,search,
corporate-finance,/en-uk/corporate-finance/factoring.html,Factoring,search,"subset of working capital finance"
corporate-finance,/en-uk/corporate-finance/transformation-and-restructuring.html,Transformation and Restructuring,search,
m-and-a,/en-uk/m-and-a/index-alliances-jvs-partnerships.html,Index - Alliances JVs & Partnerships,search,"index page sitting as sibling of leaves"
m-and-a,/en-uk/m-and-a/joint-ventures.html,Joint Ventures,search,
m-and-a,/en-uk/m-and-a/alliances.html,Alliances,search,
m-and-a,/en-uk/m-and-a/post-merger-integration-pmi.html,Post-Merger Integration (PMI),search,
m-and-a,/en-uk/m-and-a/buy-a-business.html,Buy a Business M&A Buy-side,search,
m-and-a,/en-uk/m-and-a/sell-your-business.html,Sell Your Business M&A Sell-side,search,
m-and-a,/en-uk/m-and-a/deal-strategy.html,Deal Strategy,search,"DUPLICATE of /strategy/deal-strategy-and-planning.html"
m-and-a,/en-uk/m-and-a/manda-synergies.html,M&A Synergies,search,
m-and-a,/en-uk/m-and-a/leveraged-buy-outs-lbos.html,Leveraged Buy-Outs (LBOs),search,
m-and-a,/en-uk/m-and-a/manda-company-valuation.html,Company Valuation,search,
strategy,/en-uk/strategy/business-strategy-and-planning.html,Business Strategy,search,"snippet identical to Project Finance page"
strategy,/en-uk/strategy/corporate-strategy-and-planning.html,Corporate Strategy,search,
strategy,/en-uk/strategy/marketing-strategy-and-planning.html,Marketing Strategy,search,
strategy,/en-uk/strategy/deal-strategy-and-planning.html,Deal Strategy,search,"DUPLICATE of /m-and-a/deal-strategy.html"
strategy,/en-uk/strategy/international-expansion.html,International Expansion,search,
strategy,/en-uk/strategy/geopolitical-strategy.html,Geopolitical Strategy,search,"war-game language overlaps Red Teaming page"
strategy,/en-uk/strategy/devil-s-advocate-and-red-teaming.html,Devil's Advocate and Red Teaming,search,"describes Decision Facilitation as a tier of ITSELF"
strategy,/en-uk/strategy/decision-facilitation.html,Decision Facilitation,search,"sold as a tier of the Devil's Advocate service"
strategy,/en-uk/strategy/index-interim-management.html,Index - Interim Management,search,"index for a service family with no leaves found - misfiled under strategy"
strategy,/en-uk/strategy/index-ned-board-advisory.html,Index - NED & Board Advisory,search,"misfiled under strategy"
strategy,/en-uk/strategy/non-executive-directors-ned.html,Non-Executive Directors (NED),search,
