id,page_or_template,category,finding,evidence,impact,fix,severity,effort,owner,verification
F01,team member,trust,"Three team photos are AI-generated portraits of real employees, with empty Full Profile links","Homepage source: 3 <img> tags with src on i.ibb.co and filenames literally reading ""Gemini-Generated-Image-22ceuk22ceuk22ce.png"", ""-6fe4qy6fe4qy6fe4-1.png"", ""-1yypnm1yypnm1yyp.png"". All three carry alt=""profile image"". Served from ImgBB, a free public image host.",An advisory firm selling judgement and due diligence is publishing fabricated portraits of real people. If a client or journalist runs a reverse image search this is the story. Also breaches the project's own standing rule: real headshots only.,Remove all three images immediately; publish real headshots or a neutral initial-monogram placeholder. Fill or remove the empty Full Profile links.,P1,S,Marketing,VERIFIED
F02,global template,regulatory,Cookie notice operates on implied consent,"Banner text verbatim: ""We use cookies to ensure that we give you the best experience on our website. By continuing to browse this site, you agree to the use of cookies and understand our cookie policy."" Single ""I understand"" button. No reject control, no granular categories.",Implied consent is not valid consent under UK GDPR / PECR. Non-essential cookies set before opt-in is an ICO enforcement exposure and a reportable compliance gap for a UK-registered firm.,"Replace with a prior-consent banner: no non-essential cookies until opt-in, reject as easy as accept, granular categories, consent log.",P1,M,Legal + Dev,VERIFIED
F03,home,trust,Stat block says 15 Countries; body copy on the same page says 19 countries,"Same page, both verbatim. Stat block: ""35 Corporate Professionals | 20 Average Years of Experience | 15 Countries in 3 Continents | 5 (billion USD) Value of Transactions"". Body copy: ""Our partners are based in 19 countries across 3 continents"".",A firm whose product is diligence contradicting itself on its own headline number. Neither figure currently has a confirmed source on file.,"Establish the true figure, source it, use it in one place only. Per project rules this claim does not ship until confirmed.",P1,S,Partners,VERIFIED
F04,global template,technical,"Soft-404 behaviour was a bot-gate artefact, not a site defect","While the gate was active every URL returned 200. With the gate down, the 400-page crawl recorded 16 genuine 404 responses.",No longer a finding. Retained so the earlier report is traceable.,None required. Re-test if the gate is re-enabled.,P3,M,Dev + Host,"WITHDRAWN - was a gate artefact, corrected 16 Sep"
F05,about-us,trust,Claims of 19 countries / 3 continents / $1mn-$500mn deal value carry no cited source,Indexed description of /en-uk/about-us/company-overview.html.,Unsourced scale and track-record claims are the ones a prospective client checks first. Project rules prohibit shipping them unconfirmed.,"Confirm each figure with a partner, record the source, or remove the claim.",P1,S,Partners,VERIFIED (claim exists) - figures themselves unconfirmed
F06,insights blog,content,Newest Insights item is from 2019; all items link out to LinkedIn rather than owned pages,"insights-blog.html: 827 visible words total. 62 outbound links to www.linkedin.com, 0 owned articles. No publication date rendered on any item. Latest year appearing anywhere in the page text is 2021. Most links resolve to two individuals' personal LinkedIn accounts.","Section reads as abandoned. Seven years of silence on a thought-leadership page undercuts the expertise the firm is selling, and every link hands the audience and the SEO value to LinkedIn.",Either retire the section cleanly or republish the best items as owned pages with current dates. Do not leave it dated and outbound.,P2,M,Marketing,VERIFIED
F07,global template,content,Footer copyright reads 2013-2024,"Footer verbatim: ""(c) Adan Corporate 2013 - 2024.""","Reads as abandoned to any visitor who notices, in 2026.",Auto-generate the year. One line of template code.,P2,S,Dev,VERIFIED
F08,global template,seo,meta keywords still carry CBILS and Coronavirus terms,"Homepage <meta name=""keywords""> content includes ""CBILS"". CBILS appears 3 times in source, coronavirus 3 times, covid 28 times.","CBILS closed in 2021. Beyond being dated, meta keywords have been ignored by Google for over a decade - their presence indicates page templates that have not been reviewed in years.",Remove the meta keywords tag entirely across all templates.,P2,S,Dev,VERIFIED
F09,service leaf,content,Deal Strategy is published twice at two URLs,"/en-uk/strategy/deal-strategy-and-planning.html and /en-uk/m-and-a/deal-strategy.html, both indexed.",Two pages compete for the same query; neither accumulates authority. A prospect can land on either and get a different framing of the same service.,"Keep the M&A URL, 301 the strategy one to it.",P2,S,Marketing,VERIFIED
F10,service leaf,content,"Devil's Advocate, Red Teaming, Decision Facilitation and Geopolitical Strategy are one service sold as four pages","The Devil's Advocate page's own indexed description defines the range as ""a 90-minute Devil's Advocate conversation... a one-day D-Day Decision Facilitation... or a fully staffed facilitated Red Team process"". Geopolitical Strategy repeats the war-game language a third time.","The site splits a single offer into four nav items, so a buyer cannot see it is one service at three intensities. That is a pricing table presented as an information architecture.",Consolidate to one Decision Support page with three named tiers. 301 the other three.,P2,M,Marketing,VERIFIED
